No,Datetime [local time],Datetime [UTC],P1 [bar],TOB1 [C],P1 rounded [bar],TOB1 rounded [C]
1,13.03.2026 16:51:30,2026-03-13T15:51:30.673032Z,-0.002281189,25.91128540,-0.00,25.91
2,13.03.2026 16:51:31,2026-03-13T15:51:31.674147Z,-0.002828598,25.91128540,-0.00,25.91
3,13.03.2026 16:51:32,2026-03-13T15:51:32.687016Z,-0.002700806,25.90744019,-0.00,25.91
4,13.03.2026 16:51:33,2026-03-13T15:51:33.698609Z,-0.002719879,25.91128540,-0.00,25.91
5,13.03.2026 16:51:34,2026-03-13T15:51:34.711686Z,-0.002500534,25.91128540,-0.00,25.91
6,13.03.2026 16:51:35,2026-03-13T15:51:35.721675Z,-0.002700806,25.90744019,-0.00,25.91
