No,Datetime [local time],Datetime [UTC],P1 [bar],TOB1 [C],P1 rounded [bar],TOB1 rounded [C]
1,13.03.2026 16:38:41,2026-03-13T15:38:41.665808Z,-0.002342224,25.85025024,-0.00,25.85
2,13.03.2026 16:38:42,2026-03-13T15:38:42.668336Z,-0.002561569,25.85025024,-0.00,25.85
3,13.03.2026 16:38:43,2026-03-13T15:38:43.683098Z,-0.002122879,25.85025024,-0.00,25.85
4,13.03.2026 16:38:44,2026-03-13T15:38:44.697551Z,0.038816452,25.85025024,0.04,25.85
5,13.03.2026 16:38:45,2026-03-13T15:38:45.698122Z,0.127296448,25.84640503,0.13,25.85
6,13.03.2026 16:38:46,2026-03-13T15:38:46.698686Z,0.147603989,25.84640503,0.15,25.85
7,13.03.2026 16:38:47,2026-03-13T15:38:47.710878Z,-0.002746582,25.84255981,-0.00,25.84
